Retrieving Remote Active Probes File.
Hypothesis for valid sslcert answers based on a mean of 138.000000 is ['13748167250777962796043662795652791579', '52374340215108295845375962883522092578', '57397899145990363081023081275480378375']
-----------------------------------------------------------------------------------
   Country Name  |        ASN |         In |        Out |      Error |      Empty |
   South Africa  |      16637 |          3 |          0 |          0 |          2 |
   South Africa  |       2018 |          3 |          0 |          0 |          1 |
   South Africa  |      36937 |          1 |          0 |          0 |          1 |
          Spain  |      49835 |          2 |          0 |          0 |          1 |
          Spain  |      62352 |          0 |          0 |          0 |          1 |
          Spain  |      12715 |          4 |          0 |          0 |          1 |
          Spain  |      12338 |          3 |          0 |          0 |          1 |
          Spain  |       3352 |         20 |          0 |          0 |          1 |
          Spain  |       6739 |          9 |          0 |          0 |          3 |
  United States  |        701 |         52 |          0 |          0 |          1 |
  United States  |       7377 |          0 |          0 |          0 |          1 |
  United States  |       7922 |        214 |          0 |          0 |          3 |
  United States  |      33445 |          1 |          0 |          0 |          1 |
         Uganda  |      37063 |          1 |          0 |          0 |          1 |
         France  |      35540 |         31 |          0 |          0 |          1 |
         France  |       6939 |          0 |          0 |          0 |          1 |
         France  |      12844 |          1 |          0 |          0 |          1 |
         France  |      12322 |         85 |          0 |          0 |          2 |
         France  |      50903 |          0 |          0 |          0 |          1 |
        Finland  |      20931 |          1 |          0 |          0 |          1 |
        Finland  |      48299 |          1 |          0 |          0 |          1 |
        Finland  |        719 |          8 |          0 |          0 |          1 |
    Netherlands  |       6830 |         50 |          0 |          0 |          4 |
    Netherlands  |      28685 |          2 |          0 |          0 |          2 |
    Netherlands  |       9143 |         65 |          0 |          0 |          1 |
    Netherlands  |      25596 |          7 |          0 |          0 |          3 |
    Netherlands  |       3333 |         18 |          0 |          0 |          1 |
    Netherlands  |      49562 |          8 |          0 |          0 |          1 |
         Norway  |      16234 |          1 |          0 |          0 |          1 |
    New Zealand  |      17435 |          0 |          0 |          0 |          1 |
    New Zealand  |      45177 |          0 |          0 |          0 |          1 |
    New Zealand  |     132304 |          0 |          0 |          0 |          1 |
    New Zealand  |       4768 |          2 |          0 |          0 |          1 |
    Switzerland  |       6830 |         16 |          0 |          0 |          3 |
    Switzerland  |       3303 |         22 |          0 |          0 |          1 |
    Switzerland  |      15469 |          0 |          0 |          0 |          1 |
    Switzerland  |      13030 |          4 |          0 |          0 |          1 |
          Chile  |      22047 |          3 |          0 |          0 |          2 |
         Canada  |        852 |          7 |          0 |          0 |          1 |
         Canada  |        812 |          3 |          0 |          0 |          1 |
  Czech Republi  |       6830 |         21 |          0 |          0 |          7 |
  Czech Republi  |      12767 |          3 |          0 |          0 |          1 |
  Czech Republi  |      34093 |          0 |          0 |          0 |          1 |
  Czech Republi  |      15685 |          2 |          0 |          0 |          2 |
  Czech Republi  |     198977 |          3 |          0 |          0 |          1 |
  Czech Republi  |      16246 |          1 |          0 |          0 |          1 |
  Czech Republi  |      21430 |          0 |          0 |          0 |          1 |
  Czech Republi  |     198420 |          1 |          0 |          0 |          1 |
         Cyprus  |     198336 |          0 |          0 |          0 |          1 |
          Kenya  |      36866 |          0 |          0 |          0 |          1 |
       Slovenia  |      34779 |          4 |          0 |          0 |          1 |
       Slovenia  |       5603 |          3 |          0 |          0 |          1 |
        Senegal  |       8346 |          2 |          0 |          0 |          1 |
     Seychelles  |      36958 |          9 |          0 |          0 |          2 |
         Sweden  |      39651 |          5 |          0 |          0 |          1 |
         Sweden  |       3301 |         10 |          0 |          0 |          1 |
         Sweden  |      51815 |          3 |          0 |          0 |          1 |
        Germany  |       3320 |        158 |          0 |          0 |          1 |
        Germany  |       9067 |          0 |          0 |          0 |          1 |
        Germany  |      20825 |         43 |          0 |          0 |          1 |
        Germany  |      31334 |         46 |          0 |          0 |          2 |
        Germany  |      39743 |          0 |          0 |          0 |          1 |
        Germany  |       3209 |         28 |          0 |          0 |          1 |
        Germany  |      13101 |          3 |          0 |          0 |          1 |
  Tanzania, Uni  |      36909 |          0 |          0 |          0 |          1 |
         Latvia  |      12578 |          2 |          0 |          0 |          1 |
         Latvia  |      24651 |          2 |          0 |          0 |          1 |
          Italy  |      43942 |          0 |          0 |          0 |          1 |
          Italy  |      15605 |          0 |          0 |          0 |          1 |
      Argentina  |      18747 |          0 |          0 |          0 |          1 |
      Australia  |       4739 |         18 |          0 |          0 |          1 |
      Australia  |       4802 |         10 |          0 |          0 |          1 |
        Austria  |      33929 |          0 |          0 |          0 |          1 |
        Austria  |       6830 |         16 |          0 |          0 |          1 |
        Austria  |      25255 |          0 |          0 |          0 |          1 |
        Austria  |      57763 |          0 |          0 |          0 |          1 |
        Ireland  |       1213 |          3 |          0 |          0 |          1 |
        Ukraine  |      15895 |          5 |          0 |          0 |          1 |
        Ukraine  |      35320 |          0 |          0 |          0 |          1 |
        Ukraine  |      49588 |          0 |          0 |          0 |          2 |
        Ukraine  |      25229 |          7 |          0 |          0 |          3 |
        Ukraine  |       6876 |          2 |          0 |          0 |          2 |
        Ukraine  |       6703 |          2 |          0 |          0 |          1 |
        Ukraine  |      43050 |          0 |          0 |          0 |          1 |
        Ukraine  |       3261 |          1 |          0 |          0 |          2 |
        Ukraine  |      29439 |          0 |          0 |          0 |          1 |
        Ukraine  |      25133 |          1 |          0 |          0 |          1 |
        Ukraine  |      47678 |          0 |          0 |          0 |          1 |
        Ukraine  |        174 |          0 |          0 |          0 |          1 |
        Ukraine  |      50288 |          0 |          0 |          0 |          1 |
        Ukraine  |      13188 |         10 |          0 |          0 |          1 |
        Ukraine  |      49889 |          3 |          0 |          0 |          1 |
        Ukraine  |      29107 |          0 |          0 |          0 |          1 |
-----------------------------------------------------------------------------------
Retrieving Remote Active Probes File.
Hypothesis for valid sslcert answers based on a mean of 138.000000 is ['13748167250777962796043662795652791579', '52374340215108295845375962883522092578', '57397899145990363081023081275480378375']
-----------------------------------------------------------------------------------
   Country Name  |        ASN |         In |        Out |      Error |      Empty |
-----------------------------------------------------------------------------------
        Belgium  |       5432 |         35 |          0 |          0 |          3 |
        Belgium  |       6848 |         42 |          0 |          0 |          2 |
       Bulgaria  |      25374 |          0 |          0 |          0 |          1 |
       Bulgaria  |      41782 |          0 |          0 |          0 |          2 |
       Bulgaria  |      39251 |          0 |          0 |          0 |          1 |
          Benin  |      28683 |          2 |          0 |          0 |          1 |
        Belarus  |      34421 |          1 |          0 |          0 |          1 |
  Russian Feder  |      34123 |          3 |          0 |          0 |          1 |
  Russian Feder  |      49534 |          0 |          0 |          0 |          1 |
  Russian Feder  |      31200 |          3 |          0 |          0 |          1 |
  Russian Feder  |       8334 |          1 |          0 |          0 |          1 |
  Russian Feder  |      25515 |          2 |          0 |          0 |          1 |
  Russian Feder  |      29124 |          3 |          0 |          0 |          1 |
  Russian Feder  |      44923 |          0 |          0 |          0 |          1 |
  Russian Feder  |      59494 |          0 |          0 |          0 |          1 |
  Russian Feder  |      42610 |         16 |          0 |          0 |          2 |
  Russian Feder  |      47659 |          0 |          0 |          0 |          1 |
  Russian Feder  |      12714 |         11 |          0 |          0 |          1 |
  Russian Feder  |      34533 |          2 |          0 |          0 |          1 |
  Russian Feder  |      23242 |          0 |          0 |          0 |          1 |
  Russian Feder  |       8732 |          0 |          0 |          0 |          1 |
  Russian Feder  |       6828 |          0 |          0 |          0 |          1 |
  Russian Feder  |      35516 |          0 |          0 |          0 |          1 |
  Russian Feder  |      21127 |          1 |          0 |          0 |          1 |
  Russian Feder  |      51158 |          0 |          0 |          0 |          1 |
  Russian Feder  |       6856 |          0 |          0 |          0 |          1 |
  Russian Feder  |      39927 |          0 |          0 |          0 |          1 |
  Russian Feder  |      12730 |          0 |          0 |          0 |          1 |
  Russian Feder  |       3216 |          5 |          0 |          0 |          1 |
  Russian Feder  |      44604 |          1 |          0 |          0 |          1 |
  Russian Feder  |      24923 |          6 |          0 |          0 |          2 |
  Russian Feder  |      39435 |          1 |          0 |          0 |          1 |
  Russian Feder  |      29076 |          0 |          0 |          0 |          1 |
  Russian Feder  |      25408 |          2 |          0 |          0 |          1 |
  Russian Feder  |       8402 |         29 |          0 |          0 |          4 |
  Russian Feder  |      60840 |          0 |          0 |          0 |          1 |
  Russian Feder  |      43782 |          1 |          0 |          0 |          1 |
  Russian Feder  |      16020 |          0 |          0 |          0 |          1 |
  Russian Feder  |     196710 |          0 |          0 |          0 |          1 |
  Russian Feder  |      43132 |          2 |          0 |          0 |          1 |
  Russian Feder  |       8997 |          5 |          0 |          0 |          1 |
  Russian Feder  |      41440 |          2 |          0 |          0 |          1 |
  Russian Feder  |      42893 |          1 |          0 |          0 |          1 |
        Romania  |      35505 |          0 |          0 |          0 |          1 |
         Greece  |       3329 |          3 |          0 |          0 |          1 |
         Greece  |     199789 |          0 |          0 |          0 |          1 |
         Greece  |      12361 |          1 |          0 |          0 |          1 |
  United Kingdo  |       5552 |          0 |          0 |          0 |          1 |
  United Kingdo  |       6871 |         13 |          0 |          0 |          2 |
  United Kingdo  |       2856 |         51 |          0 |          0 |          2 |
  United Kingdo  |      12708 |          0 |          0 |          0 |          1 |
  United Kingdo  |       5607 |         36 |          0 |          0 |          1 |
  United Kingdo  |      48294 |          1 |          0 |          0 |          1 |
  United Kingdo  |      42353 |          0 |          0 |          0 |          1 |
  United Kingdo  |       5089 |         54 |          0 |          0 |          4 |
  United Kingdo  |       5400 |          0 |          0 |          0 |          1 |
  United Kingdo  |        786 |         15 |          0 |          0 |          1 |
  United Kingdo  |       8586 |          0 |          0 |          0 |          1 |
  United Kingdo  |      47998 |          0 |          0 |          0 |          1 |
  United Kingdo  |      30740 |          1 |          0 |          0 |          1 |
          Gabon  |      16058 |          0 |          0 |          0 |          1 |
        Croatia  |      12644 |          0 |          0 |          0 |          1 |
        Croatia  |      35549 |          0 |          0 |          0 |          1 |
        Croatia  |      34594 |          4 |          0 |          0 |          1 |
        Hungary  |      12594 |          1 |          0 |          0 |          1 |
        Hungary  |       6830 |          4 |          0 |          0 |          1 |
        Hungary  |       5483 |          5 |          0 |          0 |          1 |
        Hungary  |     197889 |          0 |          0 |          0 |          1 |
        Hungary  |      30836 |          0 |          0 |          0 |          1 |
       Portugal  |      12542 |          6 |          0 |          0 |          1 |
         Poland  |      38950 |          0 |          0 |          0 |          1 |
         Poland  |      13110 |          0 |          0 |          0 |          1 |
         Poland  |      12741 |          3 |          0 |          0 |          2 |
   South Africa  |      37403 |          0 |          0 |          0 |          1 |
   South Africa  |       3741 |         12 |          0 |          0 |          1 |
   South Africa  |      33762 |          0 |          0 |          0 |          2 |
   South Africa  |      16637 |          3 |          0 |          0 |          2 |
   South Africa  |       2018 |          3 |          0 |          0 |          1 |
   South Africa  |      36937 |          1 |          0 |          0 |          1 |
          Spain  |      49835 |          2 |          0 |          0 |          1 |
          Spain  |      62352 |          0 |          0 |          0 |          1 |
          Spain  |      12715 |          4 |          0 |          0 |          1 |
          Spain  |      12338 |          3 |          0 |          0 |          1 |
          Spain  |       3352 |         20 |          0 |          0 |          1 |
          Spain  |       6739 |          9 |          0 |          0 |          3 |
  United States  |        701 |         52 |          0 |          0 |          1 |
  United States  |       7377 |          0 |          0 |          0 |          1 |
  United States  |       7922 |        214 |          0 |          0 |          3 |
  United States  |      33445 |          1 |          0 |          0 |          1 |
         Uganda  |      37063 |          1 |          0 |          0 |          1 |
         France  |      35540 |         30 |          0 |          0 |          1 |
         France  |       6939 |          0 |          0 |          0 |          1 |
         France  |      12844 |          1 |          0 |          0 |          1 |
         France  |      12322 |         85 |          0 |          0 |          2 |
         France  |      50903 |          0 |          0 |          0 |          1 |
        Finland  |      20931 |          1 |          0 |          0 |          1 |
        Finland  |      48299 |          1 |          0 |          0 |          1 |
        Finland  |        719 |          8 |          0 |          0 |          1 |
    Netherlands  |       6830 |         50 |          0 |          0 |          4 |
    Netherlands  |      28685 |          2 |          0 |          0 |          2 |
    Netherlands  |       9143 |         65 |          0 |          0 |          1 |
    Netherlands  |      25596 |          7 |          0 |          0 |          3 |
    Netherlands  |       3333 |         18 |          0 |          0 |          1 |
    Netherlands  |      49562 |          8 |          0 |          0 |          1 |
         Norway  |      16234 |          1 |          0 |          0 |          1 |
    New Zealand  |      17435 |          0 |          0 |          0 |          1 |
    New Zealand  |      45177 |          0 |          0 |          0 |          1 |
    New Zealand  |     132304 |          0 |          0 |          0 |          1 |
    New Zealand  |       4768 |          2 |          0 |          0 |          1 |
    Switzerland  |       6830 |         16 |          0 |          0 |          3 |
    Switzerland  |       3303 |         22 |          0 |          0 |          1 |
    Switzerland  |      15469 |          0 |          0 |          0 |          1 |
    Switzerland  |      13030 |          4 |          0 |          0 |          1 |
          Chile  |      22047 |          3 |          0 |          0 |          2 |
         Canada  |        852 |          7 |          0 |          0 |          1 |
         Canada  |        812 |          3 |          0 |          0 |          1 |
  Czech Republi  |       6830 |         21 |          0 |          0 |          7 |
  Czech Republi  |      12767 |          3 |          0 |          0 |          1 |
  Czech Republi  |      34093 |          0 |          0 |          0 |          1 |
  Czech Republi  |      15685 |          2 |          0 |          0 |          2 |
  Czech Republi  |     198977 |          3 |          0 |          0 |          1 |
  Czech Republi  |      16246 |          1 |          0 |          0 |          1 |
  Czech Republi  |      21430 |          0 |          0 |          0 |          1 |
  Czech Republi  |     198420 |          1 |          0 |          0 |          1 |
         Cyprus  |     198336 |          0 |          0 |          0 |          1 |
          Kenya  |      36866 |          0 |          0 |          0 |          1 |
       Slovenia  |      34779 |          4 |          0 |          0 |          1 |
       Slovenia  |       5603 |          3 |          0 |          0 |          1 |
        Senegal  |       8346 |          2 |          0 |          0 |          1 |
     Seychelles  |      36958 |          9 |          0 |          0 |          2 |
         Sweden  |      39651 |          5 |          0 |          0 |          1 |
         Sweden  |       3301 |         10 |          0 |          0 |          1 |
         Sweden  |      51815 |          3 |          0 |          0 |          1 |
        Germany  |       3320 |        158 |          0 |          0 |          1 |
        Germany  |       9067 |          0 |          0 |          0 |          1 |
        Germany  |      20825 |         43 |          0 |          0 |          1 |
        Germany  |      31334 |         46 |          0 |          0 |          2 |
        Germany  |      39743 |          0 |          0 |          0 |          1 |
        Germany  |       3209 |         28 |          0 |          0 |          1 |
        Germany  |      13101 |          3 |          0 |          0 |          1 |
  Tanzania, Uni  |      36909 |          0 |          0 |          0 |          1 |
         Latvia  |      12578 |          2 |          0 |          0 |          1 |
         Latvia  |      24651 |          2 |          0 |          0 |          1 |
          Italy  |      43942 |          0 |          0 |          0 |          1 |
          Italy  |      15605 |          0 |          0 |          0 |          1 |
      Argentina  |      18747 |          0 |          0 |          0 |          1 |
      Australia  |       4739 |         18 |          0 |          0 |          1 |
      Australia  |       4802 |         10 |          0 |          0 |          1 |
        Austria  |      33929 |          0 |          0 |          0 |          1 |
        Austria  |       6830 |         16 |          0 |          0 |          1 |
        Austria  |      25255 |          0 |          0 |          0 |          1 |
        Austria  |      57763 |          0 |          0 |          0 |          1 |
        Ireland  |       1213 |          3 |          0 |          0 |          1 |
        Ukraine  |      15895 |          5 |          0 |          0 |          1 |
        Ukraine  |      35320 |          0 |          0 |          0 |          1 |
        Ukraine  |      49588 |          0 |          0 |          0 |          2 |
        Ukraine  |      25229 |          7 |          0 |          0 |          3 |
        Ukraine  |       6876 |          2 |          0 |          0 |          2 |
        Ukraine  |       6703 |          2 |          0 |          0 |          1 |
        Ukraine  |      43050 |          0 |          0 |          0 |          1 |
        Ukraine  |       3261 |          1 |          0 |          0 |          2 |
        Ukraine  |      29439 |          0 |          0 |          0 |          1 |
        Ukraine  |      25133 |          1 |          0 |          0 |          1 |
        Ukraine  |      47678 |          0 |          0 |          0 |          1 |
        Ukraine  |        174 |          0 |          0 |          0 |          1 |
        Ukraine  |      50288 |          0 |          0 |          0 |          1 |
        Ukraine  |      13188 |         10 |          0 |          0 |          1 |
        Ukraine  |      49889 |          3 |          0 |          0 |          1 |
        Ukraine  |      29107 |          0 |          0 |          0 |          1 |
-----------------------------------------------------------------------------------
Retrieving Remote Active Probes File.
Hypothesis for valid sslcert answers based on a mean of 138.000000 is ['13748167250777962796043662795652791579', '52374340215108295845375962883522092578', '57397899145990363081023081275480378375']
-----------------------------------------------------------------------------------
   Country Name  |        ASN |         In |        Out |      Error |      Empty |
-----------------------------------------------------------------------------------
        Belgium  |       5432 |         35 |          0 |          0 |          3 |
        Belgium  |       6848 |         42 |          0 |          0 |          2 |
       Bulgaria  |      25374 |          0 |          0 |          0 |          1 |
       Bulgaria  |      41782 |          0 |          0 |          0 |          2 |
       Bulgaria  |      39251 |          0 |          0 |          0 |          1 |
          Benin  |      28683 |          2 |          0 |          0 |          1 |
        Belarus  |      34421 |          1 |          0 |          0 |          1 |
  Russian Feder  |      34123 |          3 |          0 |          0 |          1 |
  Russian Feder  |      49534 |          0 |          0 |          0 |          1 |
  Russian Feder  |      31200 |          3 |          0 |          0 |          1 |
  Russian Feder  |       8334 |          1 |          0 |          0 |          1 |
  Russian Feder  |      25515 |          2 |          0 |          0 |          1 |
  Russian Feder  |      29124 |          3 |          0 |          0 |          1 |
  Russian Feder  |      44923 |          0 |          0 |          0 |          1 |
  Russian Feder  |      59494 |          0 |          0 |          0 |          1 |
  Russian Feder  |      42610 |         16 |          0 |          0 |          2 |
  Russian Feder  |      47659 |          0 |          0 |          0 |          1 |
  Russian Feder  |      12714 |         11 |          0 |          0 |          1 |
  Russian Feder  |      34533 |          2 |          0 |          0 |          1 |
  Russian Feder  |      23242 |          0 |          0 |          0 |          1 |
  Russian Feder  |       8732 |          0 |          0 |          0 |          1 |
  Russian Feder  |       6828 |          0 |          0 |          0 |          1 |
  Russian Feder  |      35516 |          0 |          0 |          0 |          1 |
  Russian Feder  |      21127 |          1 |          0 |          0 |          1 |
  Russian Feder  |      51158 |          0 |          0 |          0 |          1 |
  Russian Feder  |       6856 |          0 |          0 |          0 |          1 |
  Russian Feder  |      39927 |          0 |          0 |          0 |          1 |
  Russian Feder  |      12730 |          0 |          0 |          0 |          1 |
  Russian Feder  |       3216 |          5 |          0 |          0 |          1 |
  Russian Feder  |      44604 |          1 |          0 |          0 |          1 |
  Russian Feder  |      24923 |          6 |          0 |          0 |          2 |
  Russian Feder  |      39435 |          1 |          0 |          0 |          1 |
  Russian Feder  |      29076 |          0 |          0 |          0 |          1 |
  Russian Feder  |      25408 |          2 |          0 |          0 |          1 |
  Russian Feder  |       8402 |         29 |          0 |          0 |          4 |
  Russian Feder  |      60840 |          0 |          0 |          0 |          1 |
  Russian Feder  |      43782 |          1 |          0 |          0 |          1 |
  Russian Feder  |      16020 |          0 |          0 |          0 |          1 |
  Russian Feder  |     196710 |          0 |          0 |          0 |          1 |
  Russian Feder  |      43132 |          2 |          0 |          0 |          1 |
  Russian Feder  |       8997 |          5 |          0 |          0 |          1 |
  Russian Feder  |      41440 |          2 |          0 |          0 |          1 |
  Russian Feder  |      42893 |          1 |          0 |          0 |          1 |
        Romania  |      35505 |          0 |          0 |          0 |          1 |
         Greece  |       3329 |          3 |          0 |          0 |          1 |
         Greece  |     199789 |          0 |          0 |          0 |          1 |
         Greece  |      12361 |          1 |          0 |          0 |          1 |
  United Kingdo  |       5552 |          0 |          0 |          0 |          1 |
  United Kingdo  |       6871 |         13 |          0 |          0 |          2 |
  United Kingdo  |       2856 |         51 |          0 |          0 |          2 |
  United Kingdo  |      12708 |          0 |          0 |          0 |          1 |
  United Kingdo  |       5607 |         36 |          0 |          0 |          1 |
  United Kingdo  |      48294 |          1 |          0 |          0 |          1 |
  United Kingdo  |      42353 |          0 |          0 |          0 |          1 |
  United Kingdo  |       5089 |         54 |          0 |          0 |          4 |
  United Kingdo  |       5400 |          0 |          0 |          0 |          1 |
  United Kingdo  |        786 |         15 |          0 |          0 |          1 |
  United Kingdo  |       8586 |          0 |          0 |          0 |          1 |
  United Kingdo  |      47998 |          0 |          0 |          0 |          1 |
  United Kingdo  |      30740 |          1 |          0 |          0 |          1 |
          Gabon  |      16058 |          0 |          0 |          0 |          1 |
        Croatia  |      12644 |          0 |          0 |          0 |          1 |
        Croatia  |      35549 |          0 |          0 |          0 |          1 |
        Croatia  |      34594 |          4 |          0 |          0 |          1 |
        Hungary  |      12594 |          1 |          0 |          0 |          1 |
        Hungary  |       6830 |          4 |          0 |          0 |          1 |
        Hungary  |       5483 |          5 |          0 |          0 |          1 |
        Hungary  |     197889 |          0 |          0 |          0 |          1 |
        Hungary  |      30836 |          0 |          0 |          0 |          1 |
       Portugal  |      12542 |          6 |          0 |          0 |          1 |
         Poland  |      38950 |          0 |          0 |          0 |          1 |
         Poland  |      13110 |          0 |          0 |          0 |          1 |
         Poland  |      12741 |          3 |          0 |          0 |          2 |
   South Africa  |      37403 |          0 |          0 |          0 |          1 |
   South Africa  |       3741 |         12 |          0 |          0 |          1 |
   South Africa  |      33762 |          0 |          0 |          0 |          2 |
   South Africa  |      16637 |          3 |          0 |          0 |          2 |
   South Africa  |       2018 |          3 |          0 |          0 |          1 |
   South Africa  |      36937 |          1 |          0 |          0 |          1 |
          Spain  |      49835 |          2 |          0 |          0 |          1 |
          Spain  |      62352 |          0 |          0 |          0 |          1 |
          Spain  |      12715 |          4 |          0 |          0 |          1 |
          Spain  |      12338 |          3 |          0 |          0 |          1 |
          Spain  |       3352 |         20 |          0 |          0 |          1 |
          Spain  |       6739 |          9 |          0 |          0 |          3 |
  United States  |        701 |         52 |          0 |          0 |          1 |
  United States  |       7377 |          0 |          0 |          0 |          1 |
  United States  |       7922 |        214 |          0 |          0 |          3 |
  United States  |      33445 |          1 |          0 |          0 |          1 |
         Uganda  |      37063 |          1 |          0 |          0 |          1 |
         France  |      35540 |         30 |          0 |          0 |          1 |
         France  |       6939 |          0 |          0 |          0 |          1 |
         France  |      12844 |          1 |          0 |          0 |          1 |
         France  |      12322 |         85 |          0 |          0 |          2 |
         France  |      50903 |          0 |          0 |          0 |          1 |
        Finland  |      20931 |          1 |          0 |          0 |          1 |
        Finland  |      48299 |          1 |          0 |          0 |          1 |
        Finland  |        719 |          8 |          0 |          0 |          1 |
    Netherlands  |       6830 |         50 |          0 |          0 |          4 |
    Netherlands  |      28685 |          2 |          0 |          0 |          2 |
    Netherlands  |       9143 |         65 |          0 |          0 |          1 |
    Netherlands  |      25596 |          7 |          0 |          0 |          3 |
    Netherlands  |       3333 |         18 |          0 |          0 |          1 |
    Netherlands  |      49562 |          8 |          0 |          0 |          1 |
         Norway  |      16234 |          1 |          0 |          0 |          1 |
    New Zealand  |      17435 |          0 |          0 |          0 |          1 |
    New Zealand  |      45177 |          0 |          0 |          0 |          1 |
    New Zealand  |     132304 |          0 |          0 |          0 |          1 |
    New Zealand  |       4768 |          2 |          0 |          0 |          1 |
    Switzerland  |       6830 |         16 |          0 |          0 |          3 |
    Switzerland  |       3303 |         22 |          0 |          0 |          1 |
    Switzerland  |      15469 |          0 |          0 |          0 |          1 |
    Switzerland  |      13030 |          4 |          0 |          0 |          1 |
          Chile  |      22047 |          3 |          0 |          0 |          2 |
